Program,Year,Species,Port sampled,Port Biologist Initials,Date of Collection,Length (cm),Weight_kg,Maturity Code,Oregon Sample #,Fish ID#,Ovary ID#,Slide #,Date read,Reader,Certainty of reader (1/0),Bad Slide,1,2,3,4_1,4_2,5,6,7,8,9,10,11,12,Biological_maturity,Functional_maturity,atresia,Spawning,Spent,POFs Present Y/N,Reorganizing/Regenerating,Individual stage accuracy,
ODFW,2015,Canary,Astoria,SF,11/23/2015,50,2.31,3,OR154808,10,7,7,7/21/2016,MH,1,,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,1,1,2,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,50,2.22,2,OR160920,5,12,,10/25/2017,MH,1,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,10/13/2016,46,1.72,3,,19,13,,10/25/2017,MH,1,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1,1,5,N,N,N,N,1,
ODFW,2015,Canary,Astoria,SF,12/1/2015,31,0.54,2,OR154863,3,16,16,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,1,
ODFW,2015,Canary,Astoria,SF,12/1/2015,33,0.59,2,OR154863,4,19,19,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,49,1.95,3,OR160920,13,21,,10/25/2017,MH,1,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,1,1,2,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/13/2016,38,0.95,1,,15,30,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/13/2016,39,0.86,2,,9,31,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,5,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,12/1/2015,37,0.77,2,OR154863,2,33,33,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,51,2.27,3,OR160920,1,34,,10/25/2017,MH,1,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,1,1,2,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/13/2016,34,0.68,1,,18,36,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,52,2.27,3,OR160920,22,37,,10/25/2017,MH,1,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,50,2.40,3,OR160920,28,43,,10/25/2017,MH,1,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,1,1,1,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,43,1.54,2,OR160920,29,44,,10/25/2017,MH,1,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,1,1,5,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/23/2015,50,2.22,3,OR154808,9,55,55,7/21/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/23/2015,49,2.04,3,OR154808,17,56,56,7/21/2016,MH,1,,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/23/2015,40,1.13,2,OR154808,1,63,63,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,1,
