SPID,SAMPLE_NO,SAMPLE_YEAR,SAMPLE_MONTH,SAMPLE_DAY,SOURCE_AGID,SAMPLE_AGID,PCID,SAMPLER_CODE,FISH_LENGTH,Length,FISH_LENGTH_TYPE,FORK_LENGTH_ESTIMATED,FORK_LENGTH,FISH_WEIGHT,SEX,age1,DEPTH_AVG,DEPTH_MIN,DEPTH_MAX,GRID,MATURITY,MATURITY_AGCODE,Macro_maturity,NW_SCINAME,NW_COMMONNAME,size,prop_macro,N
CNRY,OR1752629,2017,1,13,O,O,ORF,,290,29,F,FALSE,290,1,F,NA,NA,NA,NA,OHL,U,2,0,Sebastes pinniger,canary rockfish,29,0,1
CNRY,OR154863,2015,12,1,O,O,AST,55,310,31,F,FALSE,310,1.2,F,5,57,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,31,0,4
CNRY,OR1753022,2017,3,16,O,O,ORF,,310,31,F,FALSE,310,1.1,F,NA,NA,NA,NA,LGL,U,2,0,Sebastes pinniger,canary rockfish,32,0,2
CNRY,OR1864727,2018,3,12,O,O,NEW,,310,31,F,FALSE,310,1.3,F,NA,NA,NA,NA,OHL,U,2,0,Sebastes pinniger,canary rockfish,33,0,2
CNRY,OR1864727,2018,3,12,O,O,NEW,,310,31,F,FALSE,310,1.2,F,NA,NA,NA,NA,OHL,U,2,0,Sebastes pinniger,canary rockfish,34,0,1
CNRY,OR140129,2014,3,4,O,O,AST,55,320,32,F,FALSE,320,1.2,F,6,72,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,36,0,3
CNRY,OR1864727,2018,3,12,O,O,NEW,,320,32,F,FALSE,320,1.3,F,NA,NA,NA,NA,OHL,U,2,0,Sebastes pinniger,canary rockfish,37,0,2
CNRY,OR154863,2015,12,1,O,O,AST,55,330,33,F,FALSE,330,1.3,F,5,57,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,38,0,1
CNRY,OR1864727,2018,3,12,O,O,NEW,,330,33,F,FALSE,330,1.3,F,NA,NA,NA,NA,OHL,U,2,0,Sebastes pinniger,canary rockfish,40,0.25,4
CNRY,OR154864,2015,12,2,O,O,AST,444,340,34,F,FALSE,340,1.4,F,8,65,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,41,0,2
CNRY,OR144145,2014,12,18,O,O,AST,55,360,36,F,FALSE,360,1.8,F,6,110,NA,NA,RLT,U,1,0,Sebastes pinniger,canary rockfish,42,1,1
CNRY,OR1652152,2016,11,1,O,O,AST,,360,36,F,FALSE,360,1.9,F,NA,75,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,43,0.6,5
CNRY,OR1864727,2018,3,12,O,O,NEW,,360,36,F,FALSE,360,1.8,F,NA,NA,NA,NA,OHL,U,2,0,Sebastes pinniger,canary rockfish,44,0.8,5
CNRY,OR154863,2015,12,1,O,O,AST,55,370,37,F,FALSE,370,1.7,F,6,57,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,45,0.6666667,3
CNRY,OR1864905,2018,3,30,O,O,NEW,,370,37,F,FALSE,370,1.9,F,NA,NA,NA,NA,MDT,U,2,0,Sebastes pinniger,canary rockfish,46,1,3
CNRY,OR140129,2014,3,4,O,O,AST,55,380,38,F,FALSE,380,2.1,F,6,72,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,47,1,6
CNRY,OR150004,2015,1,5,O,O,AST,55,400,40,F,FALSE,400,2.6,F,6,81,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,48,1,4
CNRY,OR151493,2015,11,24,O,O,NEW,429,400,40,F,FALSE,400,2.5,F,7,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,49,1,6
CNRY,OR154808,2015,11,23,O,O,AST,55,400,40,F,FALSE,400,2.5,F,9,79,NA,NA,MDT,U,2,0,Sebastes pinniger,canary rockfish,50,1,8
CNRY,OR1652152,2016,11,1,O,O,AST,,400,40,F,FALSE,400,2.4,F,NA,75,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,51,1,13
CNRY,OR140129,2014,3,4,O,O,AST,55,410,41,F,FALSE,410,2.5,F,8,72,NA,NA,FTS,U,2,0,Sebastes pinniger,canary rockfish,52,1,9
CNRY,OR1652246,2016,11,19,O,O,NEW,,410,41,F,FALSE,410,2.9,F,NA,NA,NA,NA,MDT,U,2,0,Sebastes pinniger,canary rockfish,53,1,11
CNRY,OR144173,2014,11,4,O,O,AST,55,420,42,F,FALSE,420,3.4,F,9,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,54,1,7
CNRY,OR144173,2014,11,4,O,O,AST,55,430,43,F,FALSE,430,3.2,F,8,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,55,1,13
CNRY,OR150003,2015,1,16,O,O,AST,55,430,43,F,FALSE,430,3.3,F,7,120,NA,NA,FTS,U,3,1,Sebastes pinniger,canary rockfish,56,1,3
CNRY,OR151493,2015,11,24,O,O,NEW,429,430,43,F,FALSE,430,3.3,F,9,NA,NA,NA,MDT,U,2,0,Sebastes pinniger,canary rockfish,57,1,4
CNRY,OR1652246,2016,11,19,O,O,NEW,,430,43,F,FALSE,430,3.2,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,58,1,3
CNRY,OR1864905,2018,3,30,O,O,NEW,,430,43,F,FALSE,430,2.8,F,NA,NA,NA,NA,MDT,U,2,0,Sebastes pinniger,canary rockfish,59,1,2
CNRY,OR144174,2014,11,5,O,O,AST,55,440,44,F,FALSE,440,3.7,F,8,83,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144174,2014,11,5,O,O,AST,55,440,44,F,FALSE,440,3.6,F,10,83,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,440,44,F,FALSE,440,3.3,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1764278,2017,12,18,O,O,COS,,440,44,F,FALSE,440,NA,F,NA,NA,NA,NA,FFT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864905,2018,3,30,O,O,NEW,,440,44,F,FALSE,440,3.2,F,NA,NA,NA,NA,MDT,U,2,0,Sebastes pinniger,canary rockfish,,,
CNRY,OR144174,2014,11,5,O,O,AST,55,450,45,F,FALSE,450,4.3,F,10,83,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1764389,2017,12,8,O,O,COS,,450,45,F,FALSE,450,4.1,F,NA,NA,NA,NA,LGL,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864659,2018,2,8,O,O,AST,,454,45,F,FALSE,454,3.5,F,NA,NA,NA,NA,MDT,U,2,0,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,460,46,F,FALSE,460,NA,F,10,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,460,46,F,FALSE,460,4.2,F,9,79,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1764278,2017,12,18,O,O,COS,,460,46,F,FALSE,460,NA,F,NA,NA,NA,NA,FFT,U,4,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR120734,2012,11,9,O,O,AST,338,470,47,F,FALSE,470,4.9,F,10,150,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,470,47,F,FALSE,470,3.9,F,9,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144173,2014,11,4,O,O,AST,55,470,47,F,FALSE,470,4.2,F,11,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144173,2014,11,4,O,O,AST,55,470,47,F,FALSE,470,4.2,F,9,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,470,47,F,FALSE,470,4.2,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864659,2018,2,8,O,O,AST,,470,47,F,FALSE,470,3.8,F,NA,NA,NA,NA,MDT,U,4,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR102091,2010,11,1,O,O,COS,232,480,48,F,FALSE,480,4.9,F,12,NA,NA,NA,FTS,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR130682,2013,11,25,O,O,AST,437,480,48,F,FALSE,480,4.2,F,13,175,NA,NA,RLT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144174,2014,11,5,O,O,AST,55,480,48,F,FALSE,480,4.7,F,11,83,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652152,2016,11,1,O,O,AST,,480,48,F,FALSE,480,3.7,F,NA,75,NA,NA,FTS,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR102091,2010,11,1,O,O,COS,232,490,49,F,FALSE,490,4.6,F,14,NA,NA,NA,FTS,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144173,2014,11,4,O,O,AST,55,490,49,F,FALSE,490,5.3,F,10,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144173,2014,11,4,O,O,AST,55,490,49,F,FALSE,490,4.8,F,9,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,490,49,F,FALSE,490,4.5,F,14,79,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1764278,2017,12,18,O,O,COS,,490,49,F,FALSE,490,NA,F,NA,NA,NA,NA,FFT,U,4,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1764278,2017,12,18,O,O,COS,,490,49,F,FALSE,490,NA,F,NA,NA,NA,NA,FFT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864659,2018,2,8,O,O,AST,,497,50,F,FALSE,497,4.7,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131381,2013,12,5,O,O,NEW,429,500,50,F,FALSE,500,5.3,F,12,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR140128,2014,2,10,O,O,AST,437,500,50,F,FALSE,500,4.3,F,13,71,NA,NA,RLT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144173,2014,11,4,O,O,AST,55,500,50,F,FALSE,500,4.9,F,11,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144174,2014,11,5,O,O,AST,55,500,50,F,FALSE,500,5.1,F,12,83,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,500,50,F,FALSE,500,5.1,F,16,79,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,500,50,F,FALSE,500,4.9,F,12,79,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864905,2018,3,30,O,O,NEW,,500,50,F,FALSE,500,5.1,F,NA,NA,NA,NA,MDT,U,4,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864659,2018,2,8,O,O,AST,,509,51,F,FALSE,509,4.6,F,NA,NA,NA,NA,MDT,U,5,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR130569,2013,11,1,O,O,AST,437,510,51,F,FALSE,510,NA,F,12,61,NA,NA,FTS,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,510,51,F,FALSE,510,NA,F,12,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,510,51,F,FALSE,510,NA,F,21,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144145,2014,12,18,O,O,AST,55,510,51,F,FALSE,510,5.2,F,10,110,NA,NA,RLT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144173,2014,11,4,O,O,AST,55,510,51,F,FALSE,510,5.1,F,11,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144174,2014,11,5,O,O,AST,55,510,51,F,FALSE,510,5.1,F,11,83,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154807,2015,11,4,O,O,AST,55,510,51,F,FALSE,510,4.5,F,13,64,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,510,51,F,FALSE,510,5,F,13,79,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,510,51,F,FALSE,510,4.9,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,510,51,F,FALSE,510,5.3,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,510,51,F,FALSE,510,5.3,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,510,51,F,FALSE,510,5.2,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR102091,2010,11,1,O,O,COS,232,520,52,F,FALSE,520,5.6,F,17,NA,NA,NA,FTS,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,520,52,F,FALSE,520,NA,F,15,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,520,52,F,FALSE,520,NA,F,15,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144145,2014,12,18,O,O,AST,55,520,52,F,FALSE,520,5.6,F,14,110,NA,NA,RLT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144173,2014,11,4,O,O,AST,55,520,52,F,FALSE,520,5.5,F,12,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144174,2014,11,5,O,O,AST,55,520,52,F,FALSE,520,5.5,F,15,83,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR150183,2015,2,13,O,O,AST,55,520,52,F,FALSE,520,NA,F,14,60,NA,NA,FTS,U,6,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,520,52,F,FALSE,520,5.4,F,17,79,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,520,52,F,FALSE,520,5.3,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,530,53,F,FALSE,530,NA,F,16,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,530,53,F,FALSE,530,NA,F,11,NA,NA,NA,MDT,U,4,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,530,53,F,FALSE,530,NA,F,17,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,530,53,F,FALSE,530,NA,F,13,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144173,2014,11,4,O,O,AST,55,530,53,F,FALSE,530,6.3,F,13,65,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154807,2015,11,4,O,O,AST,55,530,53,F,FALSE,530,5.2,F,13,64,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154807,2015,11,4,O,O,AST,55,530,53,F,FALSE,530,5.8,F,11,64,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,530,53,F,FALSE,530,6.7,F,14,79,NA,NA,MDT,U,4,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,530,53,F,FALSE,530,6.3,F,14,79,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR160035,2016,2,24,O,O,AST,,530,53,F,FALSE,530,5.2,F,NA,71,NA,NA,RLT,U,6,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864905,2018,3,30,O,O,NEW,,530,53,F,FALSE,530,5.4,F,NA,NA,NA,NA,MDT,U,6,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR102091,2010,11,1,O,O,COS,232,540,54,F,FALSE,540,5.8,F,21,NA,NA,NA,FTS,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,540,54,F,FALSE,540,NA,F,21,NA,NA,NA,MDT,U,4,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,540,54,F,FALSE,540,NA,F,16,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131381,2013,12,5,O,O,NEW,429,540,54,F,FALSE,540,6.5,F,21,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144174,2014,11,5,O,O,AST,55,540,54,F,FALSE,540,6.9,F,18,83,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1753049,2017,3,20,O,O,AST,,540,54,F,FALSE,540,NA,F,NA,100,NA,NA,RLT,U,6,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864659,2018,2,8,O,O,AST,,543,54,F,FALSE,543,6.2,F,NA,NA,NA,NA,MDT,U,4,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR102091,2010,11,1,O,O,COS,232,550,55,F,FALSE,550,6.1,F,22,NA,NA,NA,FTS,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,550,55,F,FALSE,550,NA,F,17,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131381,2013,12,5,O,O,NEW,429,550,55,F,FALSE,550,6.4,F,20,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR144174,2014,11,5,O,O,AST,55,550,55,F,FALSE,550,6.3,F,14,83,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154807,2015,11,4,O,O,AST,55,550,55,F,FALSE,550,6.3,F,19,64,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154807,2015,11,4,O,O,AST,55,550,55,F,FALSE,550,6.3,F,12,64,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154807,2015,11,4,O,O,AST,55,550,55,F,FALSE,550,6.1,F,19,64,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,550,55,F,FALSE,550,6.7,F,17,79,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154808,2015,11,23,O,O,AST,55,550,55,F,FALSE,550,6.8,F,17,79,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,550,55,F,FALSE,550,6.4,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1753049,2017,3,20,O,O,AST,,550,55,F,FALSE,550,NA,F,NA,100,NA,NA,RLT,U,6,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1753049,2017,3,20,O,O,AST,,550,55,F,FALSE,550,NA,F,NA,100,NA,NA,RLT,U,5,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1764278,2017,12,18,O,O,COS,,550,55,F,FALSE,550,NA,F,NA,NA,NA,NA,FFT,U,5,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR102091,2010,11,1,O,O,COS,232,560,56,F,FALSE,560,6.4,F,17,NA,NA,NA,FTS,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,560,56,F,FALSE,560,NA,F,21,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154807,2015,11,4,O,O,AST,55,560,56,F,FALSE,560,7.3,F,22,64,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,570,57,F,FALSE,570,NA,F,23,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,570,57,F,FALSE,570,NA,F,16,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR154807,2015,11,4,O,O,AST,55,570,57,F,FALSE,570,7.7,F,25,64,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,570,57,F,FALSE,570,6.9,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864659,2018,2,8,O,O,AST,,579,58,F,FALSE,579,6.6,F,NA,NA,NA,NA,MDT,U,5,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,580,58,F,FALSE,580,NA,F,24,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR131374,2013,12,1,O,O,NEW,429,580,58,F,FALSE,580,NA,F,35,NA,NA,NA,MDT,U,4,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1652246,2016,11,19,O,O,NEW,,590,59,F,FALSE,590,7.4,F,NA,NA,NA,NA,MDT,U,3,1,Sebastes pinniger,canary rockfish,,,
CNRY,OR1864864,2018,3,28,O,O,AST,,590,59,F,FALSE,590,6.8,F,NA,NA,NA,NA,MDT,U,5,1,Sebastes pinniger,canary rockfish,,,
