SPID,SAMPLE_NO,SAMPLE_YEAR,SAMPLE_MONTH,SAMPLE_DAY,SOURCE_AGID,SAMPLE_AGID,PCID,SAMPLER_CODE,FISH_LENGTH,Length,FISH_LENGTH_TYPE,FORK_LENGTH_ESTIMATED,FORK_LENGTH,FISH_WEIGHT,SEX,age1,DEPTH_AVG,DEPTH_MIN,DEPTH_MAX,GRID,MATURITY,MATURITY_AGCODE,Macro_maturity,size,prop_macro,N
SABL,OR980608,1998,2,25,O,O,COS,6,430,43,F,FALSE,430,NA,F,4,NA,NA,NA,GFT,U,2,0,43,0,2
SABL,OR980608,1998,2,25,O,O,COS,6,430,43,F,FALSE,430,NA,F,4,NA,NA,NA,GFT,U,1,0,44,0,1
SABL,OR980608,1998,2,25,O,O,COS,6,440,44,F,FALSE,440,NA,F,4,NA,NA,NA,GFT,U,1,0,45,0,6
SABL,OR980608,1998,2,25,O,O,COS,6,450,45,F,FALSE,450,NA,F,3,NA,NA,NA,GFT,U,1,0,46,0,3
SABL,OR980608,1998,2,25,O,O,COS,6,450,45,F,FALSE,450,NA,F,3,NA,NA,NA,GFT,U,1,0,47,0,5
SABL,OR980608,1998,2,25,O,O,COS,6,450,45,F,FALSE,450,NA,F,3,NA,NA,NA,GFT,U,1,0,48,0,6
SABL,OR980608,1998,2,25,O,O,COS,6,450,45,F,FALSE,450,NA,F,4,NA,NA,NA,GFT,U,1,0,49,0,6
SABL,OR980608,1998,2,25,O,O,COS,6,450,45,F,FALSE,450,NA,F,3,NA,NA,NA,GFT,U,1,0,50,0,3
SABL,OR980608,1998,2,25,O,O,COS,6,450,45,F,FALSE,450,NA,F,3,NA,NA,NA,GFT,U,1,0,51,0,2
SABL,OR980605,1998,1,28,O,O,COS,,460,46,F,FALSE,460,NA,F,NA,NA,NA,NA,GFT,U,2,0,52,0,7
SABL,OR980605,1998,1,28,O,O,COS,,460,46,F,FALSE,460,NA,F,NA,NA,NA,NA,GFT,U,1,0,53,0.09090909,11
SABL,OR980608,1998,2,25,O,O,COS,6,460,46,F,FALSE,460,NA,F,4,NA,NA,NA,GFT,U,2,0,54,0.33333333,3
