SPID,SAMPLE_NO,SAMPLE_YEAR,SAMPLE_MONTH,SAMPLE_DAY,SOURCE_AGID,SAMPLE_AGID,PCID,SAMPLER_CODE,FISH_LENGTH,Length,FISH_LENGTH_TYPE,FORK_LENGTH_ESTIMATED,FORK_LENGTH,FISH_WEIGHT,SEX,age1,DEPTH_AVG,DEPTH_MIN,DEPTH_MAX,GRID,MATURITY,MATURITY_AGCODE,Macro_maturity,size,prop_macro,N
SABL,OR100038,2010,2,28,O,O,AST,,610,61,F,FALSE,610,NA,F,NA,300,NA,NA,RLT,U,5,1,29,0,1
SABL,OR100038,2010,2,28,O,O,AST,,660,66,F,FALSE,660,NA,F,NA,300,NA,NA,RLT,U,5,1,38,0,1
SABL,OR100038,2010,2,28,O,O,AST,,640,64,F,FALSE,640,NA,F,NA,300,NA,NA,RLT,U,3,1,40,0,2
SABL,OR100038,2010,2,28,O,O,AST,,650,65,F,FALSE,650,NA,F,NA,300,NA,NA,RLT,U,5,1,41,0,3
SABL,OR100038,2010,2,28,O,O,AST,,580,58,F,FALSE,580,NA,F,NA,300,NA,NA,RLT,U,4,1,42,0,2
SABL,OR102462,2010,11,10,O,O,BRK,,730,73,F,FALSE,730,NA,F,NA,620,NA,NA,RLT,U,6,1,43,0,15
SABL,OR102462,2010,11,10,O,O,BRK,,810,81,F,FALSE,810,NA,F,NA,620,NA,NA,RLT,U,3,1,44,0,11
SABL,OR102462,2010,11,10,O,O,BRK,,580,58,F,FALSE,580,NA,F,NA,620,NA,NA,RLT,U,3,1,45,0,6
SABL,OR102462,2010,11,10,O,O,BRK,,580,58,F,FALSE,580,NA,F,NA,620,NA,NA,RLT,U,3,1,46,0,11
SABL,OR102462,2010,11,10,O,O,BRK,,600,60,F,FALSE,600,NA,F,NA,620,NA,NA,RLT,U,3,1,47,0,20
SABL,OR102462,2010,11,10,O,O,BRK,,570,57,F,FALSE,570,NA,F,NA,620,NA,NA,RLT,U,3,1,48,0,11
SABL,OR102462,2010,11,10,O,O,BRK,,530,53,F,FALSE,530,NA,F,NA,620,NA,NA,RLT,U,3,1,49,0.11111111,9
SABL,OR102462,2010,11,10,O,O,BRK,,590,59,F,FALSE,590,NA,F,NA,620,NA,NA,RLT,U,3,1,50,0,18
SABL,OR102462,2010,11,10,O,O,BRK,,600,60,F,FALSE,600,NA,F,NA,620,NA,NA,RLT,U,3,1,51,0.08333333,12
SABL,OR112394,2011,12,8,O,O,BRK,346,660,66,F,FALSE,660,7.3,F,4,NA,NA,NA,RLT,U,3,1,52,0.14285714,7
SABL,OR112394,2011,12,8,O,O,BRK,346,660,66,F,FALSE,660,7.8,F,26,NA,NA,NA,RLT,U,3,1,53,0.22222222,9
SABL,OR112394,2011,12,8,O,O,BRK,346,610,61,F,FALSE,610,6,F,43,NA,NA,NA,RLT,U,3,1,54,0.45454545,11
SABL,OR112394,2011,12,8,O,O,BRK,346,610,61,F,FALSE,610,5.7,F,37,NA,NA,NA,RLT,U,3,1,55,0.7,10
SABL,OR112394,2011,12,8,O,O,BRK,346,730,73,F,FALSE,730,9.1,F,18,NA,NA,NA,RLT,U,3,1,56,0.53846154,13
SABL,OR120028,2012,1,17,O,O,AST,,560,56,F,FALSE,560,NA,F,NA,275,NA,NA,RLT,U,3,1,57,0.72727273,11
SABL,OR125502,2012,11,29,O,O,AST,,790,79,F,FALSE,790,NA,F,NA,225,NA,NA,RLT,U,3,1,58,0.9,10
SABL,OR125504,2012,12,10,O,O,AST,,450,45,F,FALSE,450,NA,F,NA,340,NA,NA,RLT,U,2,0,59,1,12
SABL,OR125504,2012,12,10,O,O,AST,,470,47,F,FALSE,470,NA,F,NA,340,NA,NA,RLT,U,2,0,60,0.84615385,13
SABL,OR125504,2012,12,10,O,O,AST,,730,73,F,FALSE,730,NA,F,NA,340,NA,NA,RLT,U,4,1,61,0.95,20
SABL,OR125504,2012,12,10,O,O,AST,,440,44,F,FALSE,440,NA,F,NA,340,NA,NA,RLT,U,1,0,62,1,32
SABL,OR125504,2012,12,10,O,O,AST,,570,57,F,FALSE,570,NA,F,NA,340,NA,NA,RLT,U,2,0,63,1,18
SABL,OR125504,2012,12,10,O,O,AST,,460,46,F,FALSE,460,NA,F,NA,340,NA,NA,RLT,U,1,0,64,1,18
SABL,OR125504,2012,12,10,O,O,AST,,540,54,F,FALSE,540,NA,F,NA,340,NA,NA,RLT,U,4,1,65,1,21
SABL,OR125504,2012,12,10,O,O,AST,,700,70,F,FALSE,700,NA,F,NA,340,NA,NA,RLT,U,4,1,66,1,23
SABL,OR125504,2012,12,10,O,O,AST,,500,50,F,FALSE,500,NA,F,NA,340,NA,NA,RLT,U,2,0,67,1,14
SABL,OR125505,2012,12,12,O,O,AST,,840,84,F,FALSE,840,15.6,F,NA,300,NA,NA,RLT,U,3,1,68,1,15
SABL,OR125505,2012,12,12,O,O,AST,,610,61,F,FALSE,610,NA,F,NA,300,NA,NA,RLT,U,3,1,69,1,16
SABL,OR125505,2012,12,12,O,O,AST,,710,71,F,FALSE,710,9.7,F,NA,300,NA,NA,RLT,U,3,1,70,1,16
