"Sampling_platform","Year","Species","Port_sampled","Date_of_collection","Length","Macro_Maturity_code","Oregon_sample.","Fish_Id","Ovary_Id","Certainty","1","2","3","4_1","4_2","5","6","7","8","9","10","11","12","Biological_maturity","Functional_maturity","Macro_maturity","atresia","Spawning","Spent"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",23,1,"OR1651935",21,386,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/11/2016",28,1,"OR160851",8,222,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",28,1,"OR1652208",28,510,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",29,1,"OR1651935",18,226,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",32,1,"OR1652208",3,145,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,15,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/31/2016",32,1,"OR1652054",23,1096,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,1,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",33,3,"OR1652432",13,814,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","1/25/2017",33,1,"",17,1196,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",34,1,"OR1651935",17,366,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",34,1,"OR1651935",16,634,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,5,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",35,1,"OR1652208",24,328,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/2/2016",35,1,"OR1652162",10,495,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,5,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",35,3,"OR1652432",4,852,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
