Program,Year,Species,Port_sampled,Date of Collection,Oregon Sample #,Fish_ID#,Ovary_ID#,Certainty,1,2,3,4_1,4_2,5,6,7,8,9,10,Macro_maturity_code,Length,Biological_maturity,Functional_maturity,Macro_maturity,atresia,Spawning,Spent,size,N,prop_bio,prop_fun,prop_macro,Macro_accuracy,,,,
ODFW,2016,Canary RF,Astoria,10/12/2016,OR1651844,3,1089,1,Y,Y,Y,N,N,N,N,N,N,N,N,1,27,0,0,0,2,N,N,31,1,0,0,0,1,,,,
ODFW,2016,Canary RF,Astoria,10/13/2016,,30,185,1,Y,Y,Y,N,N,N,N,N,N,N,N,1,27,0,0,0,2,N,N,27,2,0,0,0,1,,,,
ODFW,2016,Canary RF,Astoria,10/3/2016,OR160919,2,107,1,Y,Y,Y,N,N,N,N,N,N,N,N,1,32,0,0,0,1,N,N,33,2,0,0,0.5,1,,Stage,% Accuracy,N
ODFW,2016,Canary RF,Astoria,10/13/2016,,18,36,1,Y,Y,Y,N,N,N,N,N,N,N,N,1,34,0,0,0,2,N,N,37,3,0.333333333,0,0.666666667,1,,1,100%,6
ODFW,2016,Canary RF,Astoria,10/13/2016,,10,93,1,Y,Y,Y,N,N,N,N,N,N,N,N,1,35,0,0,0,1,N,N,41,2,0.5,0,0.5,1,,2,86%,22
ODFW,2016,Canary RF,Astoria,10/13/2016,,15,30,1,Y,Y,Y,N,N,N,N,N,N,N,N,1,38,0,0,0,1,N,N,48,3,1,0.666666667,1,1,,3,16%,55
ODFW,2015,Canary,Astoria,12/1/2015,OR154863,3,16,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,31,0,0,0,2,N,N,32,1,0,0,0,1,,4,0%,2
ODFW,2015,Canary,Astoria,12/1/2015,OR154863,4,19,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,33,0,0,0,1,N,N,34,3,0,0,0,1,,5,,0
ODFW,2015,Canary,Astoria,12/2/2015,OR154864,7,9127,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,34,0,0,0,1,N,N,36,3,0.666666667,0,0.666666667,1,,6,100%,1
ODFW,2016,Canary RF,Astoria,10/12/2016,OR1651844,1,1097,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,34,0,0,0,2,N,N,38,1,0,0,0,1,,7,52%,25
ODFW,2016,Canary RF,Astoria,11/1/2016,OR1652152,5,332,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,36,0,0,0,2,N,N,43,5,0.6,0.2,0.4,1,,,,
ODFW,2015,Canary,Astoria,12/1/2015,OR154863,2,33,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,37,0,0,0,1,N,N,45,5,0.2,0,0.8,1,,,,
ODFW,2016,Canary RF,Astoria,10/13/2016,,9,31,1,Y,Y,Y,Y,N,N,N,N,N,N,N,2,39,1,0,0,5,N,N,49,3,1,1,1,1,,,,
ODFW,2015,Canary,Astoria,11/23/2015,OR154808,1,63,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,40,0,0,0,0,N,N,51,8,1,1,1,1,,,,
ODFW,2016,Canary RF,Astoria,11/1/2016,OR1652152,2,344,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,40,0,0,0,5,N,N,57,2,1,1,1,1,,,,
ODFW,2016,Canary RF,Newport,11/19/2016,OR1652246,20,1023,1,Y,Y,Y,Y,N,N,N,N,N,N,N,2,41,1,0,0,5,N,N,,,,,,1,,,,
ODFW,2015,Canary,Astoria,11/6/2015,SP150018,10,8244,1,Y,Y,Y,Y,N,N,N,N,N,N,N,2,42,1,0,0,5,N,N,,,,,,1,,,,
ODFW,2015,Canary,Newport,11/24/2015,OR151493,1,456,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,43,0,0,0,1,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,29,44,1,Y,Y,Y,Y,Y,Y,N,N,N,N,N,2,43,1,1,0,5,N,N,,,,,,0,,,,
ODFW,2015,Canary,Astoria,11/6/2015,SP150018,4,9139,1,Y,Y,Y,Y,N,N,N,N,N,N,N,2,43,1,0,0,15,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,7,141,1,Y,Y,Y,Y,N,N,N,N,N,N,N,2,44,1,0,0,2,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,14,330,1,Y,Y,Y,Y,N,N,N,N,N,N,N,2,44,1,0,0,1,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,15,338,1,Y,Y,Y,Y,Y,N,N,N,N,N,N,2,44,1,1,0,5,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,24,342,1,Y,Y,Y,Y,N,N,N,N,N,N,N,2,44,1,0,0,2,N,N,,,,,,1,,,,
ODFW,2015,Canary,Astoria,11/6/2015,SP150018,2,9151,1,Y,Y,Y,Y,N,N,N,N,N,N,N,2,44,1,0,0,20,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,26,387,1,Y,Y,Y,N,N,N,N,N,N,N,N,2,45,0,0,0,1,N,N,,,,,,1,,,,
ODFW,2015,Canary,Astoria,11/6/2015,SP150018,7,9483,1,Y,Y,Y,Y,N,N,N,N,N,N,N,2,47,1,0,0,1,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/4/2016,OR160920,5,12,1,Y,Y,Y,N,Y,Y,N,N,N,N,N,2,50,1,1,0,1,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Astoria,10/24/2016,OR1652001,7,1134,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,36,1,0,1,5,N,N,44,10,0.9,0.2,0.5,0,,,,
ODFW,2016,Canary RF,Astoria,10/13/2016,,21,224,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,36,1,0,1,5,N,N,42,4,0.75,0,0.75,0,,,,
ODFW,2016,Canary RF,Astoria,10/24/2016,OR1652001,5,1150,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,37,1,0,1,5,N,N,46,5,0.8,0.4,1,0,,,,
ODFW,2015,Canary,Newport,11/24/2015,OR151493,3,445,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,40,1,0,1,2,N,N,52,5,1,1,1,0,,,,
ODFW,2015,Canary,Astoria,11/23/2015,SP150019,2,9066,1,Y,Y,Y,N,N,N,Y,Y,N,N,N,3,40,1,0,1,75,N,N,53,8,1,1,1,0,,,,
ODFW,2016,Canary RF,Newport,10/21/2016,OR1651973,1,1011,1,Y,Y,Y,N,N,N,N,N,N,N,N,3,43,0,0,1,0,N,N,,,,,,0,,,,
ODFW,2016,Canary RF,Newport,11/19/2016,OR1652246,7,958,1,Y,Y,Y,Y,Y,N,N,N,N,N,N,3,43,1,0,1,50,N,N,,,,,,1,,,,
ODFW,2016,Canary RF,Astoria,10/3/2016,OR160919,1,716,1,Y,Y,Y,Y,N,N,N,N,N,N,N,3,44,1,0,1,30,N,N,,,,,,0,,,,
