"sampling_platform","year","species","port_sampled","port_biologist_initials","date_of_collection","length_cm","wt_kg","macro_maturity_code","oregon_sample_number","fish_id","ovary_id","slide_number","date_read","reader","certainty","bad_slide","x1","x2","x3","x4_1","x4_2","x5","x6","x7","x8","x9","x10","biological_maturity","functional_maturity","percent_atresia","spawning","batch_spent","x11","x12","po_fs_present_y_n","histology_notes","data_notes","port_sampler_remarks","processing_notes","individual_stage_analysis","histo_stage","bio_macro_agree"
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-11,44,0.73,"3","OR160851",21,23,23,2018-05-30,"MH",1,"N","Y","Y","Y","Y","N","Y","Y","N","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"6",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-11,45,0.86,"7","OR160851",18,41,41,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,15,"N","N","N","N","N",NA,NA,NA,NA,0,"2",0
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-11-18,43,0.90718474,"3","OR1652208",2,110,110,2018-05-30,"MH",1,"N","Y","Y","N","N","N","Y","Y","N","N","N","NA",1,1,20,"N","N","N","N","N","quite a few mature oocytes are in beginning stage of breakdown",NA,NA,NA,0,"6",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-13,39,0.544310844,"7","OR1651935",11,112,112,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,5,"N","N","N","N","N","poor slide quality",NA,NA,NA,0,"2",0
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-11-18,38,0.45359237,"1","OR1652208",26,114,114,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,5,"N","N","N","N","N","poor slide quality",NA,NA,NA,1,"3",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-11-18,32,0.272155422,"1","OR1652208",3,145,145,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,15,"N","N","N","N","N","atresia of some developing oocytes, possible parasite on outside of ovary",NA,NA,NA,1,"3",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-11,28,0.18,"1","OR160851",8,222,222,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,2,"N","N","N","N","N",NA,NA,NA,NA,1,"2",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-13,29,0.181436948,"1","OR1651935",18,226,226,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,1,"2",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-11,47,1,"3","OR160851",13,242,242,2018-05-30,"MH",1,"N","Y","Y","N","N","Y","Y","Y","N","N","N","NA",1,1,5,"N","N","N","N","N",NA,NA,NA,NA,0,"6",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-11,57,2.18,"3","OR160851",5,248,248,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2017,"Arrowtooth","Astoria","SF",2017-01-09,57,1.769010243,"5",NA,12,281,281,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","Y","NA",1,1,5,"Y","Y","N","N","Y","possible batch already spent, spawning a batch",NA,"Collected with electronic sampling system",NA,1,"9",1
"ODFW",2017,"Arrowtooth","Astoria","SF",2017-01-09,57,1.769010243,"6",NA,1,293,293,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",1,1,15,"N","N","Y","N","Y",NA,NA,"Collected with electronic sampling system",NA,1,"11",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-11-18,40,0.544310844,"1","OR1652208",4,298,298,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,10,"N","N","N","N","N",NA,NA,NA,NA,1,"3",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-11-18,40,0.680388555,"3","OR1652208",5,302,302,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,15,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-11,40,0.5,"3","OR160851",3,309,309,2018-05-30,"MH",1,"N","Y","Y","Y","Y","Y","N","N","N","N","N","NA",1,1,5,"N","N","N","N","N",NA,NA,NA,NA,1,"4_2",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-11,58,1.77,"3","OR160851",4,322,322,2018-05-30,"MH",1,"N","Y","Y","N","N","N","Y","Y","Y","N","N","NA",1,1,5,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-11-18,37,0.45359237,"1","OR1652208",13,324,324,2018-05-30,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,0,50,"N","N","N","N","N","most developing oocytes were in atresia, maybe aborted maturation",NA,NA,NA,0,"4_1",0
