"x","program","year","species","port_sampled","port_biologist_initials","date_of_collection","vessel_name","length_cm","weight_lbs","weight_kg","macro_maturity_code","oregon_sample_number","fish_id_number","ovary_id_number","slide_number","date_read","reader","certainty","bad_slide","x1","x2","x3","x4_1","x4_2","x5","x6","x7","x8","x9","x10","biological_maturity","functional_maturity","percent_atresia","spawning","x11","po_fs_present_y_n","x12","histology_notes","data_notes","port_sampler_remarks","processing_notes","histo_stage","bio_macro_agree"
1,"ODFW",2015,"Canary","Astoria","SF","2015-11-23",NA,50,5.1,2.31,3,"OR154808",10,7,7,"2016-07-21","MH",1,NA,"Y","Y","Y","N","Y","Y","Y","Y","N","N","N",1,1,2,"N","N","N","N","Mainly stage 6 and early hydration",NA,"All from the 'disaster'  40K tow",NA,"7",1
2,"ODFW",2015,"Canary","Astoria","SF","2015-12-01",NA,31,1.2,0.54,2,"OR154863",3,16,16,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,NA,NA,"3",1
3,"ODFW",2015,"Canary","Astoria","SF","2015-12-01",NA,33,1.3,0.59,2,"OR154863",4,19,19,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N",NA,NA,NA,NA,"3",1
4,"ODFW",2015,"Canary","Astoria","SF","2015-12-01",NA,37,1.7,0.77,2,"OR154863",2,33,33,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N",NA,NA,NA,NA,"3",1
5,"ODFW",2015,"Canary","Astoria","SF","2015-11-23",NA,50,4.9,2.22,3,"OR154808",9,55,55,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,2,"N","N","N","N",NA,NA,"All from the 'disaster'  40K tow",NA,"8",1
6,"ODFW",2015,"Canary","Astoria","SF","2015-11-23",NA,49,4.5,2.04,3,"OR154808",17,56,56,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,"All from the 'disaster'  40K tow",NA,"7",1
7,"ODFW",2015,"Canary","Astoria","SF","2015-11-23",NA,40,2.5,1.13,2,"OR154808",1,63,63,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,0,"N","N","N","N","there appeared to be a few yolk granules present in some very immature looking oocytes. Dummy run, not mature.",NA,"All from the 'disaster'  40K tow",NA,"3",1
8,"ODFW",2015,"Canary","Astoria","SF","2015-11-23",NA,55,6.8,3.08,3,"OR154808",8,64,64,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","Y","Y","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,"All from the 'disaster'  40K tow",NA,"8",1
9,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,55,4.9,2.22,7,"OR160035",2,292,292,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",1,1,5,"N","Y","Y","Y","Spent ovary, POFs in full reabsorption. This fish appears to have spawned about 3 - 4 weeks previously",NA,NA,NA,"12",1
10,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,53,5,2.27,7,"OR160035",6,296,296,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",1,1,5,"N","Y","Y","Y","Spent ovary, POFs in full reabsorption. This fish appears to have spawned about 3 - 4 weeks previously",NA,NA,NA,"12",1
