"sampling_platform","year","species","port_sampled","port_biologist_initials","date_of_collection","length_cm","weight_lbs","converted_lbs_to_kg","macro_maturity_code","oregon_sample_number","fish_id_number","ovary_id_number","slide_number","date_read","reader","certainty","bad_slide","x1","x2","x3","x4_1","x4_2","x5","x6","x7","x8","x9","x10","biological_maturity","functional_maturity","percent_atresia","spawning","x11","batch_spent","x12","po_fs_present_y_n","histology_notes","data_notes","port_sampler_remarks","processing_notes","x42","individual_stage_analysis","histo_stage","bio_macro_agree"
"ODFW",2015,"Sablefish","Astoria","SF",2015-12-01,53,3.2,1.45,2,"SP150015",2,3,3,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",2015,"Sablefish","Astoria","SF",2015-11-06,47,2.2,1,2,"OR154694",1,14,14,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",2015,"Sablefish","Astoria","SF",2015-11-06,69,8.2,3.72,3,"OR154694",9,15,15,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",2015,"Sablefish","Astoria","SF",2015-11-06,56,4.3,1.95,3,"OR154694",11,18,18,2017-01-25,"MH",1,"N","Y","Y","N","N","N","Y","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",2016,"Sablefish","Astoria","KL",2016-01-26,54,3.1,1.41,7,"OR160004",9,20,20,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",2016,"Sablefish","Astoria","KL",2016-01-26,45,2,0.91,2,"OR160004",7,45,45,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,45,1.7,0.77,2,"OR154694",2,47,47,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,71,8.1,3.67,3,"OR154819",12,50,50,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,64,6.3,2.86,3,"OR154819",1,51,51,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,61,5,2.27,7,"OR154819",4,53,53,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,1,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,63,5.6,2.54,3,"OR154819",7,54,54,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,70,7.9,3.58,3,"OR154819",13,58,58,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,65,5.9,2.68,7,"OR154819",3,59,59,2017-01-25,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,5,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"3",0
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,72,8.8,3.99,3,"OR154819",6,60,60,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,10,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
